,title,item_opened_by,current_status,labels,created_by,location,contrib_type,repo,type
568,Reorg guide to have shorter expressive urls and add pangeo,2023-01-13 00:15:50,closed,,lwasser,United States,staff,software-peer-review,issues
569,Fix: restucture EIC checks to align with doc section in packaging guide,2023-01-11 16:34:29,closed,,lwasser,United States,staff,software-peer-review,issues
570,Current domain/scope for Python packages on pyOpenSci,2023-01-01 11:54:31,closed,,arianesasso,"Berlin, Germany",staff,software-peer-review,issues
571,Add content to peer-review-guide about writing interfaces + wrappers for libraries in other languages,2022-12-31 15:51:38,open,,NickleDave,Charm City,staff,software-peer-review,issues
572,MOVE https://www.pyopensci.org/peer-review-guide/software-peer-review-guide/reviewer-guide.html,2022-12-21 20:58:23,closed,,lwasser,United States,staff,software-peer-review,issues
573,Add zenodo file for release publication,2022-12-13 21:33:57,closed,,lwasser,United States,staff,software-peer-review,issues
574,FIX: Update and cleanup the peer review section of our guide,2022-11-29 23:55:47,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,issues
575,ADD: add sitemap to build for google search support,2022-11-23 22:10:13,closed,,lwasser,United States,staff,software-peer-review,issues
576,"FIX: Update the ""intro"" section of the peer review guide",2022-11-22 19:24:47,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,issues
577,Add sphinx sitemap,2022-11-05 11:47:50,closed,,lwasser,United States,staff,software-peer-review,issues
578,FIX: readme actions badge,2022-11-03 21:52:32,closed,,lwasser,United States,staff,software-peer-review,issues
579,README file - badge not rendering,2022-11-03 21:48:02,closed,help wanted,lwasser,United States,staff,software-peer-review,issues
580,"FIX/INFRA: Nov 2022 fix landing page, fix links and cleanup CI ✅ ",2022-11-03 21:30:09,closed,,lwasser,United States,staff,software-peer-review,issues
581,Setup redirect extension in all of our guides,2022-11-03 19:08:33,closed,,lwasser,United States,staff,software-peer-review,issues
582,Fix 'contributing-guide' -> 'peer-review-guide' in README links,2022-11-02 21:28:23,closed,,NickleDave,Charm City,staff,software-peer-review,issues
583,Fix link in card 'Are you a package author',2022-11-02 21:06:46,closed,,NickleDave,Charm City,staff,software-peer-review,issues
584,Fix link in card 'Are you a package author',2022-11-02 21:04:38,closed,,NickleDave,Charm City,staff,software-peer-review,issues
585,"Incorrect link in ""Are you a package author / maintainer?"" card on index.md?",2022-10-28 16:09:32,closed,,NickleDave,Charm City,staff,software-peer-review,issues
586,Editor updates,2022-10-25 13:48:25,closed,,lwasser,United States,staff,software-peer-review,issues
587,INFRA: fix build to check correct dir,2022-10-25 11:11:11,closed,,lwasser,United States,staff,software-peer-review,issues
588,Link checker ignoring my regex (ruby),2022-10-25 11:08:55,closed,,lwasser,United States,staff,software-peer-review,issues
589,content to add to author guide... ,2022-10-24 18:37:06,closed,,lwasser,United States,staff,software-peer-review,issues
590,RENAME REPO: peer-review-guide,2022-10-24 15:02:03,closed,,lwasser,United States,staff,software-peer-review,issues
591,DO NOT REVIEW - this PR will eventually be closed CONTENT: start at authoring rewrite,2022-10-21 19:27:07,closed,,lwasser,United States,staff,software-peer-review,issues
592,CONTENT: revert to old authoring content,2022-10-21 19:25:12,closed,,lwasser,United States,staff,software-peer-review,issues
593,:sparkles: INFRA: move to sphinx book from j book (#127),2022-10-21 19:14:29,closed,,lwasser,United States,staff,software-peer-review,issues
594,INFRA: convert to sphinx book,2022-10-21 18:29:56,closed,,lwasser,United States,staff,software-peer-review,issues
595,CONTENT: update to EiC and editor role pages,2022-10-21 11:35:39,closed,,lwasser,United States,staff,software-peer-review,issues
596,CONTENT: reorg of authoring section,2022-10-21 11:32:21,closed,,lwasser,United States,staff,software-peer-review,issues
597,Fixed typos and added suggestions to the text,2022-10-14 20:48:48,closed,great-first-pr :sparkles:,arianesasso,"Berlin, Germany",staff,software-peer-review,issues
598,CI: add link checker,2022-10-12 17:05:41,closed,,lwasser,United States,staff,software-peer-review,issues
599,CONTENT: editor guide update w responsibilities,2022-10-12 16:47:35,closed,,lwasser,United States,staff,software-peer-review,issues
600,Editor expectations,2022-10-12 15:14:22,closed,,lwasser,United States,staff,software-peer-review,issues
601,Quick fix: Filter artifact redirect workflow,2022-10-07 15:57:55,closed,,kysolvik,,staff,software-peer-review,issues
602,Document website build,2022-10-07 15:45:20,closed,,kysolvik,,staff,software-peer-review,issues
603,CI Tweaks,2022-10-05 23:16:49,closed,,kysolvik,,staff,software-peer-review,issues
604,CONTENT: updated badges for versioning and intro page cleanup,2022-09-28 23:23:59,closed,,lwasser,United States,staff,software-peer-review,issues
605,Make sure the review spreadsheet is filled out for every review,2022-09-28 15:11:12,closed,,lwasser,United States,staff,software-peer-review,issues
606,GitHub ci build,2022-09-28 03:51:02,closed,,kysolvik,,staff,software-peer-review,issues
607,CONTENT: Update policies for peer review,2022-09-27 22:16:18,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,issues
608,CONTENT: onboarding of editors,2022-09-26 22:58:52,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,issues
609,CONTENT: EIC guide updates,2022-09-26 17:04:44,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,issues
610,CONTENT: remove CU email,2022-09-22 20:23:34,closed,,lwasser,United States,staff,software-peer-review,issues
611,CI: add link checker to build,2022-09-21 21:57:17,closed,"help wanted, infrastructure",lwasser,United States,staff,software-peer-review,issues
612,Not sure GA is tracking the contributing guide,2022-09-21 15:07:22,closed,bug,lwasser,United States,staff,software-peer-review,issues
613,Author guide cleanup,2022-09-20 17:00:29,closed,enhancement,lwasser,United States,staff,software-peer-review,issues
614,New CI Build for Jupyter Book - Update GitHub actions,2022-09-19 23:27:04,closed,help wanted,lwasser,United States,staff,software-peer-review,issues
615,ORG: unnest peer review subsections,2022-09-19 23:24:45,closed,enhancement,lwasser,United States,staff,software-peer-review,issues
616,Reorganize to add a clear community section?,2022-09-08 22:09:13,closed,enhancement,lwasser,United States,staff,software-peer-review,issues
617,find / add instructions for reveiwers to add themselves to the contributor list on the website ,2022-09-08 21:12:25,closed,,lwasser,United States,staff,software-peer-review,issues
618,TImeline for author response and expectations for peer review,2022-09-06 15:57:23,closed,,lwasser,United States,staff,software-peer-review,issues
619,Adding links in author-guide.md,2022-02-10 10:31:52,closed,,sumit-158,India,staff,software-peer-review,issues
620,"Author guide - when is a package ""good enough"" for review",2021-10-19 17:39:25,open,,lwasser,United States,staff,software-peer-review,issues
621,remove reference to a bot in editors-guide.md,2021-09-18 01:26:01,closed,,NickleDave,Charm City,staff,software-peer-review,issues
622,remove reference to a bot in editors-guide.md,2021-09-18 01:21:03,closed,,NickleDave,Charm City,staff,software-peer-review,issues
623,Contributing guide and guidelines for packages,2021-09-15 20:38:57,closed,,lwasser,United States,staff,software-peer-review,issues
624,Reviews for already accepted to JOSS tools,2021-07-16 02:20:04,closed,,lwasser,United States,staff,software-peer-review,issues
625,Add GitHub Actions and CircleCI for CI options,2021-06-15 20:18:40,closed,,willingc,San Diego,staff,software-peer-review,issues
626,A few more minor fixes,2021-06-03 21:57:14,closed,,lwasser,United States,staff,software-peer-review,issues
627,Guide updates master vs main branch in the text,2021-06-03 17:19:22,closed,,lwasser,United States,staff,software-peer-review,issues
628,cleanup of guide part ii,2021-05-26 01:09:02,closed,,lwasser,United States,staff,software-peer-review,issues
629,fix links,2021-05-22 01:14:34,closed,,lwasser,United States,staff,software-peer-review,issues
630,Fix Broken Links in contributor guide,2021-05-22 01:01:41,closed,help wanted,lwasser,United States,staff,software-peer-review,issues
631,Fix coi,2021-05-21 21:59:41,closed,,lwasser,United States,staff,software-peer-review,issues
632,Fix coi,2021-05-21 21:32:56,closed,,lwasser,United States,staff,software-peer-review,issues
633,fix coi link,2021-05-21 17:38:42,closed,,lwasser,United States,staff,software-peer-review,issues
634,Add Editor guide to guide book,2021-05-21 16:31:33,closed,,lwasser,United States,staff,software-peer-review,issues
635,Fix urls in various places throughout the contributing guide,2021-02-08 16:21:15,closed,,gawbul,Earth,staff,software-peer-review,issues
636,Update templates.md,2020-10-09 00:55:27,closed,,choldgraf,California,staff,software-peer-review,issues
637,editor approval template specifically mentions pyrolite,2020-10-08 15:29:56,closed,,NickleDave,Charm City,staff,software-peer-review,issues
638,Discuss possible collaborations / integrations with Pangeo,2020-09-24 16:07:14,closed,,rabernat,New York City,staff,software-peer-review,issues
639,add link to COI on reviewers guide?,2020-07-25 15:15:21,closed,,NickleDave,Charm City,staff,software-peer-review,issues
640,broken conflict of interest link on guide for editors,2020-07-25 15:13:23,closed,help wanted,NickleDave,Charm City,staff,software-peer-review,issues
641,change 'CRAN' to PyPI in guide for editors?,2020-07-25 15:09:51,closed,,NickleDave,Charm City,staff,software-peer-review,issues
642,"broken links because ""contributing-guide"" is missing",2020-07-16 03:22:49,closed,,NickleDave,Charm City,staff,software-peer-review,issues
643,Add: Editor note for JOSS submission step to editor checks post review / next steps,2020-06-10 16:01:14,open,help wanted,lwasser,United States,staff,software-peer-review,issues
644,How do we track packages that lose maintainers?,2020-06-08 15:01:44,closed,,lwasser,United States,staff,software-peer-review,issues
645,Update JOSS instructions for editors,2020-06-08 14:53:47,closed,,lwasser,United States,staff,software-peer-review,issues
646,minor document updates and adding repository buttons,2020-06-06 00:12:22,closed,,choldgraf,California,staff,software-peer-review,issues
647,updates to the editor template,2020-06-04 15:46:29,closed,,lwasser,United States,staff,software-peer-review,issues
648,Add suggestion about python versions support,2020-05-25 21:35:18,closed,,xmnlab,Earth,staff,software-peer-review,issues
649,Fix a collaboration label and Improve a collaboration note,2020-05-22 22:33:20,closed,,xmnlab,Earth,staff,software-peer-review,issues
650,Jupyter book build fail - github actions (probably a GH issue not us),2020-05-22 21:46:34,closed,,lwasser,United States,staff,software-peer-review,issues
651,Clean up jenny's editor PR,2020-05-22 21:36:52,closed,,lwasser,United States,staff,software-peer-review,issues
652,test at fixing url's so we use dashes everywhere!!,2020-05-22 01:30:47,closed,,lwasser,United States,staff,software-peer-review,issues
653,authoring/tools-for-developers: Fix link inside a note ,2020-05-22 01:10:17,closed,,xmnlab,Earth,staff,software-peer-review,issues
654,Add Get Started Checklist to Editor Page,2020-05-21 19:28:24,closed,,jlpalomino,,staff,software-peer-review,issues
655,add examples of pyOpenSci packages in process/aims_scope.html under each category,2020-05-21 19:12:37,closed,,cosmicBboy,"Atlanta, GA, US",staff,software-peer-review,issues
656,add direct links to create relevant issue on submissions/author_guide.html,2020-05-21 19:08:58,closed,"enhancement, help wanted, good first issue",cosmicBboy,"Atlanta, GA, US",staff,software-peer-review,issues
657,Guide for Reviewers: Add a section for those who are new - what are the requirements,2020-05-21 18:12:59,closed,help wanted,lwasser,United States,staff,software-peer-review,issues
658,small updates POS reviews rather than RO,2020-05-21 18:07:34,closed,,lwasser,United States,staff,software-peer-review,issues
659,Guide for Reviewers page: Update Pyopensci example reviews,2020-05-21 17:58:56,closed,,lwasser,United States,staff,software-peer-review,issues
660,Note about authoring/collaboration,2020-05-21 17:53:36,closed,,xmnlab,Earth,staff,software-peer-review,issues
661,"Add a ""new reviewers"" section to the review page",2020-05-21 17:52:58,closed,help wanted,lwasser,United States,staff,software-peer-review,issues
662,Replace `(attributions=)` by `(attributions)=` in authoring/collaboration.html ,2020-05-21 17:44:38,closed,,xmnlab,Earth,staff,software-peer-review,issues
663,Add doc about git pre commit hook,2020-05-09 22:46:17,closed,,xmnlab,Earth,staff,software-peer-review,issues
664,Split the authors guide into *requirements* and then guidelines/info,2020-05-06 00:21:02,closed,,choldgraf,California,staff,software-peer-review,issues
665,Docs update,2020-05-06 00:15:00,closed,,choldgraf,California,staff,software-peer-review,issues
666,Consider adding the guidebook to the top-level nav,2020-05-05 23:11:33,closed,,choldgraf,California,staff,software-peer-review,issues
667,"Rename this repository to ""guide""?",2020-05-05 23:08:38,closed,,choldgraf,California,staff,software-peer-review,issues
668,Missing links for badge table example in packaging guide,2020-05-05 06:08:55,closed,,pmeier,Germany,staff,software-peer-review,issues
669,reorganizing our content,2020-04-30 21:35:06,closed,,choldgraf,California,staff,software-peer-review,issues
670,adding an edit url and GA,2020-04-30 20:50:50,closed,,choldgraf,California,staff,software-peer-review,issues
671,Update to new version of Jupyter Book,2020-04-30 19:07:06,closed,,choldgraf,California,staff,software-peer-review,issues
672,Add language about pyopensci's stance on volunteer time,2020-04-30 18:05:39,closed,,lwasser,United States,staff,software-peer-review,issues
673,Consider Restructuring Docs into separate chapters,2020-04-30 17:54:11,closed,,lwasser,United States,staff,software-peer-review,issues
674,Updates to the review template ,2020-04-30 17:52:01,closed,,lwasser,United States,staff,software-peer-review,issues
675,Add a get started page for editors,2020-04-30 17:34:50,closed,,lwasser,United States,staff,software-peer-review,issues
676,Update Jupyter Book ,2020-04-30 17:31:40,closed,,lwasser,United States,staff,software-peer-review,issues
677,issues to address,2020-04-08 16:29:02,closed,,lwasser,United States,staff,software-peer-review,issues
678,Update pyOpenSci badge details in template.md,2020-02-07 16:34:13,closed,,jlpalomino,,staff,software-peer-review,issues
679,repostatus badge,2019-12-12 01:14:19,closed,,megies,,staff,software-peer-review,issues
680,Modify the submission template to ask a question about upstreaming the code,2019-11-14 18:20:10,closed,,choldgraf,California,staff,software-peer-review,issues
681,remove locked tmp gemfile,2019-09-30 23:00:31,closed,,lwasser,United States,staff,software-peer-review,issues
682,Do we need to have a _data file for the TOC?,2019-09-30 21:39:56,closed,,lwasser,United States,staff,software-peer-review,issues
683,security alert! rubyzip ?? not sure if this is of concern but it just popped up!,2019-09-30 21:37:55,closed,,lwasser,United States,staff,software-peer-review,issues
684,upgrading the book,2019-09-30 20:10:58,closed,,choldgraf,California,staff,software-peer-review,issues
685,updating circle config,2019-09-04 00:48:36,closed,,choldgraf,California,staff,software-peer-review,issues
686,Remove reference to DESCRIPTION,2019-09-03 18:44:55,closed,,mbjoseph,"Denver, CO",staff,software-peer-review,issues
687,rOpenSci carry-over: reference to DESCRIPTION,2019-09-03 18:41:18,closed,,mbjoseph,"Denver, CO",staff,software-peer-review,issues
688,Specifically requires a markdown README,2019-07-10 23:43:32,closed,,kysolvik,,staff,software-peer-review,issues
689,A few edits to the reviewer template,2019-06-20 21:06:06,closed,,lwasser,United States,staff,software-peer-review,issues
690,Add specific readme requirements to review template,2019-06-04 22:37:40,closed,,lwasser,United States,staff,software-peer-review,issues
691,Merge pull request #26 from pyOpenSci/editor-review,2019-06-04 22:33:24,closed,,lwasser,United States,staff,software-peer-review,issues
692,dev_guide isn't a great user friendly name ,2019-06-03 15:36:57,closed,"enhancement, help wanted",lwasser,United States,staff,software-peer-review,issues
693,Update Editor Template -- joss comes after tech requirements,2019-06-03 15:14:44,closed,,lwasser,United States,staff,software-peer-review,issues
694,Updating from master,2019-06-03 15:12:40,closed,,lwasser,United States,staff,software-peer-review,issues
695,minor typo,2019-06-02 20:16:27,closed,,cosmicBboy,"Atlanta, GA, US",staff,software-peer-review,issues
696,Add clear requirement for installation instructions in README,2019-05-18 22:47:22,closed,,kysolvik,,staff,software-peer-review,issues
697,removing build folder to force updates,2019-05-14 15:57:31,closed,,choldgraf,California,staff,software-peer-review,issues
698,adding all files in the build,2019-05-02 22:44:07,closed,,choldgraf,California,staff,software-peer-review,issues
699,don't run test,2019-05-02 22:27:45,closed,,choldgraf,California,staff,software-peer-review,issues
700,updating jupyter book,2019-05-02 22:15:00,closed,,choldgraf,California,staff,software-peer-review,issues
701,Add installation instructions to the requirement for the pre-submission guideline,2019-05-02 20:20:40,closed,,choldgraf,California,staff,software-peer-review,issues
702,Suggest that reviewers create issues instead of adding all text in the review?,2019-05-02 20:15:57,closed,help wanted,choldgraf,California,staff,software-peer-review,issues
703,CI not building book properly,2019-05-02 18:24:35,closed,,kysolvik,,staff,software-peer-review,issues
704,CI setup & Do we need CI for this website build?,2019-05-02 18:22:16,closed,,lwasser,United States,staff,software-peer-review,issues
705,Updating a link that's relative that should be abs,2019-04-30 16:37:42,closed,,choldgraf,California,staff,software-peer-review,issues
706,A sample email for contributors to use to ask for participation,2019-04-10 14:59:45,closed,,choldgraf,California,staff,software-peer-review,issues
707,Editor Review content edits,2019-04-09 16:14:30,closed,,lwasser,United States,staff,software-peer-review,issues
708,Updates to maintenance guide plus link fixes,2019-02-25 22:02:25,closed,,kysolvik,,staff,software-peer-review,issues
709,Fixed links and added a couple more,2019-02-20 21:58:13,closed,,kysolvik,,staff,software-peer-review,issues
710,Updated links and removed some ropensci stuff,2019-02-20 21:33:19,closed,,kysolvik,,staff,software-peer-review,issues
711,Suggestions for Python development glossary,2019-02-20 19:36:28,closed,,kysolvik,,staff,software-peer-review,issues
712,Added good/better/best recommendations to packaging guide,2019-02-20 15:10:32,closed,,kysolvik,,staff,software-peer-review,issues
713,Updates to scope and highlighting COC,2019-02-01 21:30:26,closed,,kysolvik,,staff,software-peer-review,issues
714,Merged search functionality from jupyter/jupyter-book,2019-01-30 21:30:50,closed,,kysolvik,,staff,software-peer-review,issues
715,Enabled search and added a preface/intro,2019-01-30 17:29:53,closed,,kysolvik,,staff,software-peer-review,issues
716,Added a disclaimer to the intro page,2019-01-25 23:19:49,closed,,kysolvik,,staff,software-peer-review,issues
717,Added Initial content,2019-01-25 23:08:49,closed,,kysolvik,,staff,software-peer-review,issues
718,Adding jupyter book,2019-01-15 16:54:50,closed,,choldgraf,California,staff,software-peer-review,issues
734,Small fix for the text in editors-guide.md,2023-11-30 23:30:24,closed,,xmnlab,Earth,staff,software-peer-review,pulls
735,Fix: add favicon and add blocks to author guide,2023-11-29 22:35:54,closed,,lwasser,United States,staff,software-peer-review,pulls
736,"Use long form command-line argument for ""self-documentation""",2023-11-28 19:04:41,closed,,nutjob4life,,staff,software-peer-review,pulls
737,Fix: update editor steps to include reviewer info & update checklist,2023-11-09 16:19:53,closed,reviews-welcome,lwasser,United States,staff,software-peer-review,pulls
738,Fix: update archive package text,2023-10-26 23:12:26,closed,"enhancement, reviews-welcome",lwasser,United States,staff,software-peer-review,pulls
739,Fix: a few broken urls,2023-10-23 18:40:44,closed,,lwasser,United States,staff,software-peer-review,pulls
740,docs: Fix reviewer guide link in request template,2023-10-05 18:25:18,closed,,Batalex,,staff,software-peer-review,pulls
741,Add: more specific community partners page with FAQ,2023-09-18 21:55:49,closed,,lwasser,United States,staff,software-peer-review,pulls
742,editor checklist fixup,2023-09-06 17:40:00,closed,,ucodery,,staff,software-peer-review,pulls
743,Add: new page on review triage team,2023-08-22 23:15:48,closed,,lwasser,United States,staff,software-peer-review,pulls
744,Fix: remove language around adding package and contribs to website,2023-07-27 18:13:00,closed,,lwasser,United States,staff,software-peer-review,pulls
745,Minor edits to the Author guide,2023-07-15 20:36:35,closed,,g-patlewicz,,staff,software-peer-review,pulls
746,Fixed spelling error on the Contributing page,2023-07-15 20:06:38,closed,,g-patlewicz,,staff,software-peer-review,pulls
747,A few minor edits on the Software review process page,2023-07-15 19:55:36,closed,,g-patlewicz,,staff,software-peer-review,pulls
748,Minor changes to the Package scope page,2023-07-15 19:38:38,closed,,g-patlewicz,,staff,software-peer-review,pulls
749,Minor text revisions and corrections to the Benefits page,2023-07-15 18:06:32,closed,,g-patlewicz,,staff,software-peer-review,pulls
750,Making typo and grammar corrections to the Our goals page within Scie…,2023-07-15 17:34:41,closed,,g-patlewicz,,staff,software-peer-review,pulls
751,Updating the introduction page in the software review guide to make some typo changes,2023-07-15 16:29:10,closed,,g-patlewicz,,staff,software-peer-review,pulls
752,Update intro.md,2023-07-15 16:16:54,closed,,yang-ruoxi,,staff,software-peer-review,pulls
753,Feat: add text associated with astropy partnership,2023-07-05 17:21:44,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,pulls
754,Update: initial review survey ,2023-06-27 17:06:43,closed,,lwasser,United States,staff,software-peer-review,pulls
755,A few points of clarification wrapping up review,2023-06-20 18:15:05,closed,,lwasser,United States,staff,software-peer-review,pulls
756,Fix GitHub icon link,2023-05-26 09:26:18,closed,,dstansby,"London, UK",staff,software-peer-review,pulls
757,Remove implementation suggestions from checks,2023-05-26 09:10:48,closed,,dstansby,"London, UK",staff,software-peer-review,pulls
758,Fix links in editor checks,2023-05-26 09:04:52,closed,,dstansby,"London, UK",staff,software-peer-review,pulls
759,Fix HTML-Proofer failure for 2i2c documentation,2023-05-26 07:13:44,closed,,cmarmo,,staff,software-peer-review,pulls
760,"Fix: Remove redundant ""Review guide"" section",2023-04-22 21:20:41,closed,,ForgottenProgramme,"Berlin, Germany",staff,software-peer-review,pulls
761,Fix: update logo and add contributing link to guide,2023-04-18 16:56:10,closed,,lwasser,United States,staff,software-peer-review,pulls
762,Fix scope link,2023-03-27 20:45:03,closed,,astrojuanlu,Spain,staff,software-peer-review,pulls
763,Update documentation and template for reviewers about tests,2023-03-20 22:33:45,closed,,cmarmo,,staff,software-peer-review,pulls
764,Add warning on how to contact reviewers consistently,2023-03-18 12:17:52,closed,,Batalex,,staff,software-peer-review,pulls
765,Fix: Remove GA and add Matomo analytics,2023-03-06 17:29:43,closed,,lwasser,United States,staff,software-peer-review,pulls
766,"Add info on GitHub permissions, fix #195",2023-02-27 01:46:48,closed,,NickleDave,Charm City,staff,software-peer-review,pulls
767,Add: links to diversity in our policy around assigning editors / reviewers ,2023-02-22 22:29:44,closed,,lwasser,United States,staff,software-peer-review,pulls
768,Tweak wording of admonition in package-scope.md,2023-02-22 02:36:08,closed,,NickleDave,Charm City,staff,software-peer-review,pulls
769,Add: telemetry policy to scope page,2023-02-21 19:18:28,closed,,lwasser,United States,staff,software-peer-review,pulls
770,test,2023-02-21 19:15:09,closed,,lwasser,United States,staff,software-peer-review,pulls
771,Fix: badge link,2023-02-16 11:54:55,closed,,sumit-158,India,staff,software-peer-review,pulls
772,One last zenodo update,2023-02-14 22:10:03,closed,,lwasser,United States,staff,software-peer-review,pulls
773,Fix: all contributors json,2023-02-14 21:54:17,closed,,lwasser,United States,staff,software-peer-review,pulls
774,Add: all contributors to zenodo file,2023-02-14 21:28:40,closed,,lwasser,United States,staff,software-peer-review,pulls
775,fix: Fix broken links in editor initial response,2023-02-02 18:20:14,closed,,Batalex,,staff,software-peer-review,pulls
776,Add partners and scope to grid,2023-02-01 22:30:32,closed,,lwasser,United States,staff,software-peer-review,pulls
777,Fix: Update scope document and also fix a few sphinx bugs,2023-01-31 23:37:49,closed,reviews-welcome,lwasser,United States,staff,software-peer-review,pulls
778,Update: guide to use sphinx data theme,2023-01-31 19:41:19,closed,,lwasser,United States,staff,software-peer-review,pulls
779,Add: precommit config and clean up ALL files to repo,2023-01-24 00:18:15,closed,,lwasser,United States,staff,software-peer-review,pulls
780,Add pangeo community collab to peer review guide (and precommit!),2023-01-23 16:41:55,closed,enhancement,lwasser,United States,staff,software-peer-review,pulls
781,Reorg guide to have shorter expressive urls and add pangeo,2023-01-13 00:15:50,closed,,lwasser,United States,staff,software-peer-review,pulls
782,Fix: restucture EIC checks to align with doc section in packaging guide,2023-01-11 16:34:29,closed,,lwasser,United States,staff,software-peer-review,pulls
783,Add zenodo file for release publication,2022-12-13 21:33:57,closed,,lwasser,United States,staff,software-peer-review,pulls
784,FIX: Update and cleanup the peer review section of our guide,2022-11-29 23:55:47,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,pulls
785,ADD: add sitemap to build for google search support,2022-11-23 22:10:13,closed,,lwasser,United States,staff,software-peer-review,pulls
786,"FIX: Update the ""intro"" section of the peer review guide",2022-11-22 19:24:47,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,pulls
787,FIX: readme actions badge,2022-11-03 21:52:32,closed,,lwasser,United States,staff,software-peer-review,pulls
788,"FIX/INFRA: Nov 2022 fix landing page, fix links and cleanup CI ✅ ",2022-11-03 21:30:09,closed,,lwasser,United States,staff,software-peer-review,pulls
789,Fix 'contributing-guide' -> 'peer-review-guide' in README links,2022-11-02 21:28:23,closed,,NickleDave,Charm City,staff,software-peer-review,pulls
790,Fix link in card 'Are you a package author',2022-11-02 21:06:46,closed,,NickleDave,Charm City,staff,software-peer-review,pulls
791,Fix link in card 'Are you a package author',2022-11-02 21:04:38,closed,,NickleDave,Charm City,staff,software-peer-review,pulls
792,Editor updates,2022-10-25 13:48:25,closed,,lwasser,United States,staff,software-peer-review,pulls
793,INFRA: fix build to check correct dir,2022-10-25 11:11:11,closed,,lwasser,United States,staff,software-peer-review,pulls
794,DO NOT REVIEW - this PR will eventually be closed CONTENT: start at authoring rewrite,2022-10-21 19:27:07,closed,,lwasser,United States,staff,software-peer-review,pulls
795,CONTENT: revert to old authoring content,2022-10-21 19:25:12,closed,,lwasser,United States,staff,software-peer-review,pulls
796,:sparkles: INFRA: move to sphinx book from j book (#127),2022-10-21 19:14:29,closed,,lwasser,United States,staff,software-peer-review,pulls
797,INFRA: convert to sphinx book,2022-10-21 18:29:56,closed,,lwasser,United States,staff,software-peer-review,pulls
798,CONTENT: update to EiC and editor role pages,2022-10-21 11:35:39,closed,,lwasser,United States,staff,software-peer-review,pulls
799,CONTENT: reorg of authoring section,2022-10-21 11:32:21,closed,,lwasser,United States,staff,software-peer-review,pulls
800,Fixed typos and added suggestions to the text,2022-10-14 20:48:48,closed,great-first-pr :sparkles:,arianesasso,"Berlin, Germany",staff,software-peer-review,pulls
801,CI: add link checker,2022-10-12 17:05:41,closed,,lwasser,United States,staff,software-peer-review,pulls
802,CONTENT: editor guide update w responsibilities,2022-10-12 16:47:35,closed,,lwasser,United States,staff,software-peer-review,pulls
803,Quick fix: Filter artifact redirect workflow,2022-10-07 15:57:55,closed,,kysolvik,,staff,software-peer-review,pulls
804,Document website build,2022-10-07 15:45:19,closed,,kysolvik,,staff,software-peer-review,pulls
805,CI Tweaks,2022-10-05 23:16:49,closed,,kysolvik,,staff,software-peer-review,pulls
806,CONTENT: updated badges for versioning and intro page cleanup,2022-09-28 23:23:59,closed,,lwasser,United States,staff,software-peer-review,pulls
807,GitHub ci build,2022-09-28 03:51:02,closed,,kysolvik,,staff,software-peer-review,pulls
808,CONTENT: Update policies for peer review,2022-09-27 22:16:18,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,pulls
809,CONTENT: onboarding of editors,2022-09-26 22:58:52,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,pulls
810,CONTENT: EIC guide updates,2022-09-26 17:04:44,closed,"reviews-welcome, content-update",lwasser,United States,staff,software-peer-review,pulls
811,CONTENT: remove CU email,2022-09-22 20:23:34,closed,,lwasser,United States,staff,software-peer-review,pulls
812,CI: add link checker to build,2022-09-21 21:57:17,closed,"help wanted, infrastructure",lwasser,United States,staff,software-peer-review,pulls
813,Author guide cleanup,2022-09-20 17:00:29,closed,enhancement,lwasser,United States,staff,software-peer-review,pulls
814,ORG: unnest peer review subsections,2022-09-19 23:24:45,closed,enhancement,lwasser,United States,staff,software-peer-review,pulls
815,Adding links in author-guide.md,2022-02-10 10:31:52,closed,,sumit-158,India,staff,software-peer-review,pulls
816,remove reference to a bot in editors-guide.md,2021-09-18 01:26:01,closed,,NickleDave,Charm City,staff,software-peer-review,pulls
817,remove reference to a bot in editors-guide.md,2021-09-18 01:21:03,closed,,NickleDave,Charm City,staff,software-peer-review,pulls
818,Add GitHub Actions and CircleCI for CI options,2021-06-15 20:18:40,closed,,willingc,San Diego,staff,software-peer-review,pulls
819,A few more minor fixes,2021-06-03 21:57:14,closed,,lwasser,United States,staff,software-peer-review,pulls
820,Guide updates master vs main branch in the text,2021-06-03 17:19:22,closed,,lwasser,United States,staff,software-peer-review,pulls
821,cleanup of guide part ii,2021-05-26 01:09:02,closed,,lwasser,United States,staff,software-peer-review,pulls
822,fix links,2021-05-22 01:14:34,closed,,lwasser,United States,staff,software-peer-review,pulls
823,Fix coi,2021-05-21 21:59:41,closed,,lwasser,United States,staff,software-peer-review,pulls
